Tempo_fs,Temp_K,E_pot_eV,E_kin_eV,E_tot_eV
2570.000,4650337146612.06,-76948.47820,75738898692.67978,75738821744.20157
2571.000,4635161339716.70,-10588.98893,75491734053.90417,75491723464.91525
2572.000,4652088359444.30,-66345.75626,75767420265.87082,75767353920.11456
2573.000,4652259866820.08,-79230.37139,75770213564.36728,75770134333.99590
2574.000,4652521930867.31,-106084.81075,75774481737.12514,75774375652.31438
2575.000,4652640144612.49,-96830.53899,75776407055.35220,75776310224.81322
2576.000,4652422870362.33,-91519.43198,75772868363.01588,75772776843.58391
2577.000,4654874600597.46,-39601.40022,75812799091.05698,75812759489.65675
2578.000,4659493319389.13,-76615.44464,75888023029.37018,75887946413.92554
2579.000,4661392570143.39,-74817.51192,75918955659.82971,75918880842.31779
2580.000,4661631984197.47,-96018.99534,75922854937.71355,75922758918.71820
2581.000,4661453960387.31,-102325.31066,75919955507.65128,75919853182.34062
2582.000,4661147937653.94,-95626.24121,75914971390.57124,75914875764.33003
2583.000,4662111027116.07,-87940.63803,75930656992.04578,75930569051.40775
2584.000,4660711269417.14,-89210.11727,75907859482.27148,75907770272.15422
2585.000,4658059941037.15,-56272.38699,75864677948.27890,75864621675.89191
2586.000,4658455633162.38,-69364.06095,75871122488.71587,75871053124.65492
2587.000,4656505472028.59,-48310.38777,75839360693.41156,75839312383.02379
2588.000,4654008947476.25,-86553.38176,75798700411.33043,75798613857.94867
2589.000,4653555928468.23,-71860.76071,75791322202.03665,75791250341.27594
2590.000,4653575360459.01,-61473.12012,75791638686.09676,75791577212.97664
2591.000,4654219788327.81,-87257.23071,75802134324.48410,75802047067.25339
2592.000,4654644340345.57,-65710.28344,75809048898.90079,75808983188.61734
2593.000,4654940612701.14,-102381.04751,75813874213.97296,75813771832.92545
2594.000,4655620204103.29,-85724.29734,75824942552.18942,75824856827.89207
2595.000,4655324258215.60,-38400.14942,75820122554.21959,75820084154.07018
2596.000,4653968356997.29,-97429.00852,75798039324.17128,75797941895.16275
2597.000,4653565610537.38,-94507.22661,75791479891.51846,75791385384.29185
2598.000,4653437572226.83,-65725.93123,75789394563.00870,75789328837.07747
2599.000,4652894411567.70,-93213.72583,75780548238.78772,75780455025.06189
2600.000,4653193010915.10,-90772.18141,75785411453.00417,75785320680.82275
2601.000,4653918054915.85,-107518.73884,75797220066.52812,75797112547.78928
2602.000,4654071383366.50,-99068.66310,75799717289.33685,75799618220.67375
2603.000,4655622132817.11,-89534.71170,75824973964.67760,75824884429.96590
2604.000,4656969984476.22,-100734.82955,75846926093.53270,75846825358.70316
2605.000,4656697669866.79,-93879.74994,75842490972.38644,75842397092.63651
2606.000,4655885744934.59,-82258.88402,75829267350.47546,75829185091.59145
2607.000,4655371742337.25,-76077.47305,75820895916.44373,75820819838.97067
2608.000,4655538086303.43,-106193.36804,75823605119.75650,75823498926.38846
2609.000,4655314558999.82,-95247.19224,75819964585.47478,75819869338.28253
2610.000,4655374118001.99,-97109.98772,75820934608.31172,75820837498.32401
2611.000,4654939757376.73,-67538.79265,75813860283.51439,75813792744.72174
